Name;X-coordinate;Y-coordinate;Z-coordinate;X-velocity;Y-velocity;Z-velocity;mass
sun;-3.7168e-06;-3.27838e-05;2.35627e-07;-0.00037168;-0.00327838;2.35627e-05;39.4784
jupiter;4.84734;-1.13216;-0.103871;0.590849;2.8157;-0.0248872;0.0376937
saturn;8.33322;4.14303;-0.403437;-1.01485;1.82364;0.00861324;0.0112863
uranus;12.9052;-15.1025;-0.223416;1.08214;0.869475;-0.0108214;0.00172372
neptune;15.3895;-25.9134;0.178911;0.978869;0.595073;-0.0347586;0.00203369
sun;-7.27352e-06;-6.55969e-05;4.67515e-07;-0.000355672;-0.00328131;2.31888e-05;39.4784
jupiter;4.85309;-1.10397;-0.104116;0.575346;2.81932;-0.0245551;0.0376937
saturn;8.32303;4.16125;-0.403349;-1.01893;1.82161;0.00881073;0.0112863
uranus;12.916;-15.0938;-0.223524;1.08149;0.870237;-0.0108101;0.00172372
neptune;15.3993;-25.9074;0.178564;0.978647;0.595448;-0.0347611;0.00203369
sun;-1.06699e-05;-9.84384e-05;6.95655e-07;-0.000339642;-0.00328415;2.2814e-05;39.4784
jupiter;4.85869;-1.07574;-0.104359;0.559817;2.82286;-0.024222;0.0376937
saturn;8.3128;4.17945;-0.403259;-1.023;1.81957;0.00900825;0.0112863
uranus;12.9268;-15.085;-0.223632;1.08084;0.870998;-0.0107988;0.00172372
neptune;15.4091;-25.9015;0.178216;0.978424;0.595822;-0.0347637;0.00203369
sun;-1.39058e-05;-0.000131308;9.20038e-07;-0.000323589;-0.00328691;2.24383e-05;39.4784
jupiter;4.86413;-1.04748;-0.104598;0.544264;2.8263;-0.0238881;0.0376937
saturn;8.30253;4.19762;-0.403167;-1.02707;1.81752;0.00920579;0.0112863
uranus;12.9376;-15.0763;-0.22374;1.08019;0.871759;-0.0107876;0.00172372
neptune;15.4188;-25.8955;0.177868;0.978202;0.596196;-0.0347663;0.00203369
sun;-1.6981e-05;-0.000164203;1.14066e-06;-0.000307514;-0.00328958;2.20617e-05;39.4784
jupiter;4.86942;-1.01918;-0.104833;0.528687;2.82966;-0.0235532;0.0376937
saturn;8.29222;4.21578;-0.403073;-1.03113;1.81546;0.00940335;0.0112863
uranus;12.9484;-15.0676;-0.223848;1.07954;0.872519;-0.0107763;0.00172372
neptune;15.4286;-25.8895;0.177521;0.977979;0.596571;-0.0347689;0.00203369
sun;-1.98951e-05;-0.000197125;1.3575e-06;-0.000291418;-0.00329216;2.16843e-05;39.4784
jupiter;4.87455;-0.990852;-0.105065;0.513086;2.83293;-0.0232174;0.0376937
saturn;8.28186;4.23391;-0.402977;-1.03519;1.81339;0.00960093;0.0112863
uranus;12.9592;-15.0589;-0.223955;1.07888;0.873279;-0.010765;0.00172372
neptune;15.4384;-25.8836;0.177173;0.977756;0.596945;-0.0347715;0.00203369
sun;-2.26482e-05;-0.000230071;1.57056e-06;-0.000275301;-0.00329465;2.1306e-05;39.4784
jupiter;4.87953;-0.962491;-0.105294;0.497462;2.83611;-0.0228808;0.0376937
saturn;8.27147;4.25202;-0.402879;-1.03925;1.81131;0.00979853;0.0112863
uranus;12.97;-15.0501;-0.224063;1.07823;0.874039;-0.0107537;0.00172372
neptune;15.4482;-25.8776;0.176825;0.977533;0.597319;-0.034774;0.00203369
